robot_count,task_complexity,communication_delay,swarm_density,obstacle_density,battery_level,signal_strength,formation_type,terrain_roughness,task_deadline,robot_speed,sensor_range,collision_probability,energy_efficiency,coordination_overhead,mission_success
16,6.2,410.1,4.31,7.1,60.2,-87.7,Line,9.8,66.8,3.25,15.9,0.302,0.97,4.9,0
7,4.1,202.1,3.91,26.2,41.1,-61.2,Grid,3.1,281.1,0.5,49.7,0.191,0.54,34.0,0
50,8.2,110.8,1.3,22.0,47.5,-69.9,Random,9.1,72.1,2.43,10.1,0.117,1.28,19.3,1
31,5.9,256.0,3.86,22.3,81.8,-114.2,Circle,8.9,297.6,3.7,19.6,0.455,1.29,31.9,1
39,1.7,274.4,0.16,29.9,24.6,-64.0,Wedge,1.4,41.5,1.34,31.2,0.268,1.2,1.3,0
3,6.1,269.2,1.16,24.1,65.7,-46.7,Random,7.0,12.9,4.33,17.9,0.1,1.4,10.9,0
16,9.2,282.5,0.42,24.9,55.5,-30.7,Wedge,3.7,262.5,3.47,24.2,0.335,1.05,24.9,0
12,4.6,474.4,3.92,28.5,37.5,-117.3,Circle,7.1,180.1,0.53,48.7,0.402,0.98,19.5,0
9,3.7,451.1,3.8,4.5,75.5,-60.6,Circle,9.2,132.3,4.35,25.9,0.379,1.03,11.8,0
27,2.3,437.9,4.09,14.9,59.6,-82.7,Grid,5.5,33.8,0.59,45.6,0.3,0.68,8.0,0
46,2.4,400.7,0.12,17.4,53.0,-119.1,Wedge,4.7,176.7,4.5,3.1,0.26,1.01,12.1,0
45,4.9,471.7,2.56,9.9,70.1,-64.7,Grid,9.3,124.2,2.0,6.9,0.389,1.04,29.7,0
6,6.4,49.2,3.55,25.2,82.2,-109.0,Wedge,9.8,150.3,3.64,47.3,0.354,1.26,7.3,1
7,1.7,132.6,0.86,22.9,97.5,-85.9,Wedge,1.6,192.8,4.04,7.3,0.286,0.85,23.8,0
27,9.5,247.5,3.28,21.6,66.6,-96.5,Line,9.3,195.6,1.77,37.1,0.329,0.59,16.9,0
5,7.8,423.3,0.51,29.9,88.7,-87.5,Grid,1.7,288.6,2.1,22.9,0.084,1.1,30.5,0
20,6.3,252.6,0.99,7.8,10.1,-75.7,Wedge,4.0,200.0,2.79,20.9,0.01,1.29,8.1,1
21,8.5,374.0,2.43,22.1,57.7,-87.7,Wedge,7.9,108.4,3.12,33.3,0.466,1.47,10.8,0
34,1.7,69.5,3.3,16.5,29.3,-70.3,Circle,8.0,105.6,1.81,36.7,0.468,0.59,15.9,0
21,5.3,126.2,0.81,9.4,18.5,-98.5,Line,7.5,148.4,4.97,46.7,0.394,1.25,6.7,1
50,6.7,365.9,1.01,4.8,57.9,-62.8,Circle,1.4,85.2,3.82,13.6,0.186,1.1,18.4,1
13,8.5,82.4,1.1,26.9,77.2,-43.2,Grid,2.2,119.2,1.73,35.2,0.075,0.52,16.6,1
48,8.1,175.7,1.27,17.9,47.1,-99.8,Grid,9.4,254.2,3.38,17.8,0.179,1.22,39.6,1
2,3.5,132.4,1.21,24.7,70.3,-74.3,Wedge,1.7,259.3,2.46,36.2,0.363,0.53,23.8,0
27,9.5,174.9,2.04,16.4,54.1,-61.6,Random,1.7,192.1,4.37,8.0,0.168,1.29,2.8,1
15,2.1,354.2,3.3,6.6,49.3,-69.2,Circle,8.5,179.0,1.98,23.4,0.398,1.22,18.4,0
39,8.9,183.9,2.25,10.1,36.1,-87.1,Grid,6.8,133.9,1.35,10.0,0.337,1.19,35.1,0
38,9.7,277.6,3.9,11.4,44.4,-62.2,Wedge,4.2,194.4,0.71,17.5,0.315,0.62,34.7,0
12,2.6,50.0,3.62,29.2,41.5,-117.5,Wedge,2.5,243.8,4.93,36.1,0.465,1.42,38.5,1
37,7.5,402.5,0.72,0.2,68.2,-86.7,Circle,9.0,224.0,2.12,12.4,0.447,1.4,35.8,0
14,1.4,184.9,0.34,29.6,20.4,-72.1,Wedge,9.9,20.3,1.49,34.6,0.356,1.4,7.1,0
44,4.6,324.3,4.4,29.4,18.3,-118.1,Line,1.4,222.0,2.71,25.3,0.1,0.86,0.1,1
4,5.6,362.7,0.49,29.9,69.4,-74.3,Random,6.0,218.8,1.81,5.5,0.469,0.99,24.7,0
34,6.2,104.8,0.83,14.3,59.2,-61.1,Circle,3.4,38.7,1.55,19.9,0.114,0.61,28.1,0
7,9.4,442.3,0.21,28.9,48.7,-51.7,Circle,8.5,53.6,3.27,43.6,0.186,0.55,5.2,0
11,7.1,308.1,3.18,11.9,23.7,-109.8,Circle,4.1,238.5,0.84,49.5,0.413,0.56,6.7,0
6,5.3,214.4,2.95,0.8,47.0,-30.8,Wedge,7.4,172.1,2.79,19.1,0.104,1.07,38.5,0
24,8.3,91.2,4.94,6.7,81.1,-65.4,Wedge,5.9,248.3,2.24,3.7,0.319,0.82,37.8,1
11,9.6,471.2,4.45,28.4,90.1,-87.3,Circle,5.9,63.6,2.9,7.4,0.229,1.08,6.3,0
45,1.2,377.5,2.11,0.4,73.2,-97.6,Circle,8.7,18.9,1.94,39.6,0.312,1.09,9.9,1
3,9.8,104.0,1.92,16.4,15.4,-68.4,Line,5.2,57.0,3.07,33.1,0.479,1.41,35.7,0
14,1.8,168.9,1.55,2.3,70.3,-40.6,Grid,8.6,141.2,0.87,15.0,0.404,1.38,17.4,0
41,8.3,404.8,0.85,8.6,31.7,-73.1,Line,4.3,161.8,2.19,20.2,0.148,1.22,31.9,0
3,3.5,347.8,0.78,2.6,38.4,-60.5,Circle,2.6,258.7,1.57,40.7,0.029,1.32,15.8,0
21,2.2,382.9,0.75,25.8,27.6,-87.8,Wedge,5.1,217.7,2.47,21.2,0.484,0.5,29.5,0
2,5.0,220.6,0.66,17.7,79.8,-85.1,Wedge,5.5,297.2,2.29,38.0,0.293,0.52,15.9,0
38,6.8,358.2,1.28,27.1,68.4,-94.2,Circle,5.3,32.8,3.34,15.5,0.087,0.96,36.0,0
10,4.4,193.2,1.6,20.7,65.1,-56.5,Grid,8.3,47.8,3.33,36.5,0.314,1.15,13.0,0
18,1.5,105.6,4.81,29.1,70.1,-87.7,Random,6.1,34.5,2.36,23.9,0.021,1.29,20.9,1
10,6.4,316.3,2.93,15.3,31.3,-102.8,Random,9.0,166.2,1.32,27.7,0.094,0.95,20.9,0
12,9.1,488.0,4.94,19.2,50.0,-86.8,Line,5.6,87.4,3.12,30.3,0.316,1.44,26.0,0
16,4.4,155.3,1.93,17.3,67.0,-43.2,Grid,3.0,208.3,4.85,23.1,0.201,1.31,12.3,1
25,2.9,230.5,2.34,14.5,67.3,-53.6,Random,2.2,48.5,1.33,23.8,0.163,0.6,25.7,0
39,5.0,337.0,1.69,25.4,81.3,-89.9,Grid,8.8,39.9,0.81,14.0,0.328,0.94,5.6,0
36,1.4,270.8,1.0,19.3,35.8,-38.4,Wedge,1.5,143.4,1.69,49.3,0.433,1.49,35.7,0
31,8.4,421.7,0.8,24.0,79.3,-113.3,Wedge,2.1,119.0,2.36,45.4,0.339,0.91,5.8,1
32,8.4,380.9,4.73,23.6,49.6,-115.5,Grid,1.6,250.5,1.88,26.8,0.232,0.89,33.6,1
50,6.3,29.1,4.94,5.7,70.3,-108.5,Circle,4.8,252.9,4.26,2.7,0.329,0.79,27.7,1
6,4.2,499.2,0.32,19.5,51.0,-109.5,Random,5.8,44.1,2.72,9.3,0.348,0.99,13.6,0
45,8.2,376.2,0.84,6.0,95.4,-112.1,Random,1.2,245.6,1.61,42.8,0.388,1.23,13.1,1
15,6.0,432.0,2.18,17.5,26.1,-60.5,Wedge,5.6,173.6,4.78,46.6,0.154,0.55,38.6,0
12,8.4,325.6,1.01,20.3,70.8,-65.9,Line,4.5,156.0,1.06,8.9,0.057,1.34,7.8,0
10,6.7,428.1,1.88,29.9,61.9,-61.7,Random,8.0,37.5,1.05,37.0,0.341,1.42,28.9,0
35,8.1,56.2,0.73,0.9,25.5,-58.0,Wedge,8.5,224.5,1.6,31.5,0.061,1.28,7.3,1
13,6.4,173.9,2.34,2.7,15.9,-51.9,Wedge,7.2,27.3,0.85,15.9,0.231,1.42,36.2,0
36,4.7,438.2,1.43,2.3,81.9,-101.4,Grid,5.3,90.5,3.88,22.4,0.115,0.59,29.7,1
36,9.6,100.8,1.82,12.0,24.2,-64.0,Grid,2.9,37.7,1.91,34.2,0.166,0.95,37.3,1
2,5.9,39.1,0.56,24.6,26.8,-67.8,Grid,8.6,163.9,3.78,6.0,0.235,0.57,35.2,0
41,6.4,394.1,2.2,25.3,98.1,-35.1,Line,4.1,197.1,3.93,10.3,0.448,1.34,22.0,0
23,3.0,417.7,4.92,22.1,74.6,-99.1,Random,4.2,268.3,1.57,2.6,0.34,1.45,6.1,1
30,6.6,81.3,1.71,26.9,32.5,-114.7,Line,9.2,222.8,2.83,45.2,0.086,0.8,8.9,1
9,6.1,427.2,4.39,9.7,63.2,-61.2,Line,9.8,288.7,2.84,29.1,0.44,1.04,8.1,0
12,2.7,343.4,4.23,2.6,58.1,-53.4,Grid,9.1,230.7,4.42,26.6,0.25,0.8,8.8,1
42,1.5,260.0,4.77,1.7,86.0,-94.5,Wedge,10.0,96.4,0.62,35.6,0.102,0.88,19.1,1
38,6.4,415.1,3.97,25.6,75.6,-68.6,Circle,8.8,168.8,1.93,49.4,0.264,0.98,34.7,0
15,7.9,209.6,3.33,21.9,84.9,-114.6,Wedge,7.3,142.8,4.47,9.4,0.095,1.29,0.9,1
31,5.7,97.0,4.3,21.0,29.0,-33.6,Wedge,3.6,174.1,1.57,7.5,0.184,0.65,9.5,0
36,3.0,142.4,0.47,10.2,67.6,-110.1,Wedge,9.6,175.9,1.12,15.4,0.403,0.66,23.9,0
22,7.0,252.6,2.37,11.4,13.6,-113.9,Wedge,8.9,213.6,3.09,45.3,0.329,0.7,34.6,0
38,1.7,265.7,4.95,28.7,16.2,-116.0,Line,3.2,34.1,1.88,21.2,0.239,0.55,11.9,0
6,5.0,402.8,3.87,1.9,74.2,-81.5,Grid,5.4,226.6,2.6,39.9,0.113,1.14,15.3,1
20,2.5,395.7,4.81,23.2,12.2,-111.3,Grid,1.6,51.7,4.19,10.9,0.141,0.69,14.9,0
15,2.7,290.7,3.92,9.3,62.2,-53.0,Wedge,9.6,17.6,2.84,25.2,0.489,0.94,11.7,0
27,2.8,390.4,4.39,1.2,85.6,-39.1,Circle,6.2,160.5,2.82,7.2,0.171,1.19,28.0,0
5,4.5,95.9,3.56,22.3,44.2,-96.6,Random,3.2,178.6,1.75,21.2,0.308,0.95,26.2,0
26,1.5,25.0,3.83,9.9,14.0,-63.4,Wedge,3.6,20.1,4.07,13.9,0.25,1.41,33.7,0
46,4.6,436.8,2.66,21.7,74.2,-116.2,Wedge,9.8,159.5,3.83,27.9,0.012,1.27,36.7,1
43,5.6,37.8,4.63,21.2,93.7,-85.2,Circle,6.5,165.0,1.55,39.2,0.472,0.77,36.0,1
26,5.3,123.3,4.14,16.0,74.5,-93.6,Line,4.8,25.2,1.94,47.0,0.044,0.63,21.6,1
19,4.4,347.7,4.24,23.3,62.1,-99.4,Wedge,5.5,216.4,4.05,14.9,0.329,1.39,7.4,1
41,8.6,204.7,3.4,17.4,30.7,-62.0,Circle,1.9,71.0,2.11,37.4,0.406,0.9,8.9,1
9,2.3,438.2,1.59,8.6,11.4,-108.3,Line,1.7,240.4,2.32,44.4,0.374,0.88,23.6,0
40,5.6,149.0,0.27,22.0,72.5,-42.5,Line,6.3,100.1,2.14,7.1,0.405,1.31,36.7,0
41,1.6,5.9,4.68,17.7,30.8,-60.2,Wedge,5.6,148.6,1.23,29.7,0.37,0.51,21.2,0
15,1.6,150.3,2.97,0.4,87.2,-56.0,Line,4.2,268.6,2.03,31.0,0.223,0.95,37.4,0
33,6.2,289.0,1.56,27.0,52.0,-35.8,Wedge,6.1,243.8,4.11,14.3,0.448,1.21,10.5,0
39,6.1,188.0,0.83,16.4,57.8,-35.2,Wedge,1.7,236.7,2.71,2.1,0.456,1.35,3.5,0
34,8.9,267.4,4.16,26.1,77.9,-70.4,Grid,9.5,56.5,2.56,13.6,0.218,1.39,31.9,0
24,6.0,438.3,4.2,26.5,80.1,-75.4,Random,3.6,24.0,1.2,29.7,0.242,0.97,35.2,0
16,9.6,456.2,4.09,13.3,67.8,-89.8,Random,1.6,185.7,1.3,10.6,0.243,1.35,17.9,1
34,1.4,133.0,3.26,15.2,94.5,-55.6,Grid,2.5,129.1,0.69,15.1,0.139,0.54,4.1,1
26,1.9,231.1,1.89,12.5,98.4,-71.6,Wedge,1.9,273.6,0.56,35.7,0.057,0.81,1.7,1
18,1.4,274.6,1.59,13.5,95.2,-36.0,Circle,2.6,111.4,2.7,20.5,0.131,0.51,2.5,0
34,2.7,474.6,0.14,26.9,84.2,-98.5,Line,4.8,129.1,2.34,4.2,0.422,0.67,17.6,0
48,5.9,499.3,4.18,23.6,73.5,-92.1,Grid,7.6,162.5,1.74,20.6,0.272,1.22,9.4,1
3,6.8,117.7,0.53,3.8,69.7,-91.6,Grid,3.5,241.0,4.96,50.0,0.425,0.5,18.5,1
15,1.4,363.5,3.19,18.3,19.3,-47.5,Grid,4.9,87.8,2.29,13.8,0.373,1.02,19.5,0
41,9.5,189.0,2.57,29.9,34.4,-111.1,Grid,9.4,283.1,4.05,14.0,0.174,0.91,18.3,1
41,8.6,4.1,2.68,17.9,10.5,-79.0,Random,3.7,166.6,1.45,9.3,0.093,0.62,24.8,1
40,3.7,4.6,4.64,23.6,22.4,-81.5,Wedge,8.2,253.9,1.61,14.3,0.284,1.19,27.2,0
7,1.7,230.3,0.25,23.1,49.5,-113.4,Grid,2.4,162.4,3.06,29.2,0.468,1.19,15.8,0
7,2.5,244.2,3.89,10.5,23.2,-83.0,Grid,2.6,233.9,0.52,48.3,0.42,1.23,13.5,0
4,2.1,11.3,0.36,11.2,91.1,-73.8,Grid,5.1,24.9,0.58,30.8,0.382,1.27,14.7,0
8,2.1,343.5,0.29,21.7,82.5,-114.1,Circle,3.1,241.8,1.14,21.1,0.382,0.81,2.8,0
9,5.7,147.0,2.21,15.0,16.4,-74.1,Circle,9.1,161.9,1.5,20.1,0.264,1.49,12.9,0
43,3.2,279.9,0.41,17.1,32.4,-33.7,Line,1.5,140.3,2.88,2.2,0.085,0.57,8.0,0
16,4.2,150.5,3.97,21.4,83.7,-31.9,Wedge,6.4,42.4,3.59,1.1,0.143,1.15,11.6,0
48,9.9,83.6,2.69,23.3,82.3,-72.1,Grid,6.4,225.1,1.9,40.1,0.289,1.47,28.6,1
30,7.2,203.6,0.24,8.1,95.1,-73.6,Line,1.6,48.0,1.58,25.0,0.158,0.72,39.5,0
34,9.5,116.1,0.3,4.4,99.8,-94.3,Line,7.6,65.8,4.2,2.6,0.391,0.78,36.9,0
31,2.3,267.4,3.1,8.8,97.9,-30.3,Wedge,5.2,46.7,1.23,15.0,0.187,1.08,32.9,0
40,4.4,99.4,4.05,15.2,46.9,-95.3,Circle,7.5,11.9,3.55,18.5,0.057,1.28,29.5,1
28,6.0,254.2,2.25,10.3,32.5,-79.2,Wedge,8.4,202.0,4.69,39.4,0.391,0.83,37.8,0
37,1.7,78.7,2.82,17.1,78.3,-119.7,Line,3.9,88.5,1.54,22.3,0.349,1.34,30.1,1
30,1.0,335.5,4.02,1.6,36.9,-88.6,Wedge,5.4,53.3,0.89,39.7,0.127,0.74,18.8,0
39,7.0,377.0,3.09,15.3,82.6,-113.6,Circle,3.3,102.8,4.91,32.1,0.491,1.37,24.1,1
34,6.8,55.2,1.2,11.0,58.1,-53.1,Line,2.8,154.7,1.72,2.6,0.202,0.75,12.2,0
38,4.7,233.9,3.1,16.0,81.5,-69.5,Wedge,1.0,156.0,1.74,48.5,0.34,1.12,0.1,1
28,5.4,35.4,3.18,12.7,34.8,-68.5,Grid,9.7,116.5,2.68,9.9,0.455,0.86,14.1,0
34,4.7,299.1,3.7,8.5,55.7,-94.2,Grid,5.0,153.5,1.54,14.5,0.078,0.82,16.2,1
5,1.2,132.2,3.14,27.1,60.8,-46.7,Wedge,1.1,133.9,4.97,40.7,0.44,0.85,29.3,0
23,4.0,263.8,4.85,5.5,94.9,-119.7,Wedge,1.1,248.6,0.69,10.3,0.352,1.0,34.4,1
3,2.6,258.7,1.07,20.4,34.0,-90.0,Circle,3.6,18.6,2.53,20.7,0.084,1.35,38.5,0
11,1.9,462.2,4.76,27.7,94.3,-60.6,Line,1.1,261.7,2.97,43.4,0.332,1.26,14.1,0
6,9.6,274.5,2.74,16.2,82.4,-38.3,Wedge,4.4,80.7,2.6,32.2,0.437,0.95,38.3,0
11,6.4,291.5,3.39,26.3,75.8,-98.9,Line,1.6,219.3,2.84,15.8,0.4,0.78,32.0,0
34,7.6,200.8,0.59,3.7,80.8,-71.3,Grid,1.4,127.5,4.94,32.6,0.38,1.35,1.2,1
39,3.8,474.5,1.96,14.8,64.5,-71.6,Line,7.0,95.4,4.45,40.8,0.081,1.37,23.8,0
14,4.5,388.6,3.87,13.7,32.0,-41.3,Random,9.2,188.5,1.89,20.8,0.095,0.95,14.6,0
32,3.1,142.7,3.56,0.2,27.1,-115.5,Circle,4.7,233.0,2.98,29.0,0.274,1.2,1.4,1
48,1.9,422.1,0.3,13.3,88.0,-81.8,Circle,8.5,140.5,0.5,49.4,0.29,0.87,21.3,0
37,2.6,216.2,2.78,11.1,75.3,-103.6,Line,1.3,145.3,2.34,48.3,0.472,0.65,23.4,1
46,8.2,414.3,0.53,20.1,29.2,-118.1,Circle,8.0,27.1,1.24,25.9,0.234,0.82,10.1,0
25,7.1,411.4,4.98,28.1,65.4,-106.8,Line,1.6,278.0,3.7,5.7,0.151,1.18,37.6,0
16,5.9,94.4,4.5,2.6,50.3,-32.1,Line,8.5,255.6,1.49,35.3,0.095,1.27,24.4,1
30,5.3,350.6,0.2,9.8,24.3,-100.7,Grid,8.9,125.4,3.87,14.2,0.027,1.35,7.0,1
9,9.3,145.3,4.31,13.3,57.9,-35.8,Line,8.1,231.8,1.91,33.8,0.034,0.52,28.9,0
6,1.7,148.7,4.61,13.7,35.3,-101.5,Circle,8.4,100.9,4.67,18.2,0.287,0.99,20.0,0
30,3.5,148.2,1.83,23.2,18.7,-36.2,Random,6.1,221.8,2.5,36.2,0.088,0.77,18.9,0
48,4.1,362.8,3.63,13.3,52.0,-61.1,Wedge,3.4,159.8,4.28,19.0,0.426,1.18,33.4,0
5,8.0,114.9,2.27,0.8,63.1,-109.8,Circle,6.8,143.6,3.33,47.1,0.298,0.75,5.5,1
13,9.9,0.5,3.31,21.3,14.2,-67.6,Random,5.0,26.4,4.9,7.7,0.432,1.07,19.6,0
46,3.2,357.6,1.77,26.5,46.2,-91.3,Circle,1.0,290.0,3.84,4.4,0.214,1.21,31.2,0
3,8.9,85.6,1.68,15.4,33.2,-85.5,Random,5.3,252.8,3.77,39.3,0.298,1.27,26.4,1
28,8.5,52.2,2.18,17.4,12.8,-80.4,Circle,6.9,240.1,1.69,20.7,0.263,0.77,0.2,1
32,3.0,118.8,0.81,4.9,21.3,-82.0,Wedge,1.1,98.4,2.77,23.8,0.493,0.59,31.5,0
37,4.6,190.0,4.17,6.6,22.5,-60.2,Grid,6.6,94.0,1.81,46.8,0.398,0.72,37.8,0
37,4.7,238.0,1.81,7.1,26.5,-50.8,Grid,6.9,176.2,0.59,29.9,0.298,1.1,28.2,0
27,9.8,22.3,2.06,12.9,82.3,-90.4,Wedge,2.4,255.4,3.7,33.3,0.303,0.54,35.0,1
44,2.6,485.3,4.48,27.8,49.6,-36.8,Circle,4.9,281.0,1.56,2.0,0.124,0.66,14.4,0
28,8.2,358.0,2.53,15.7,23.2,-35.5,Random,9.7,88.0,2.29,33.9,0.367,1.5,14.0,0
6,4.0,161.6,2.77,5.8,19.0,-116.3,Line,9.0,186.2,1.78,20.0,0.491,0.88,12.8,0
21,7.6,159.3,4.79,8.0,36.8,-118.7,Circle,4.7,219.9,1.4,23.6,0.065,1.0,29.4,1
12,4.8,224.3,4.44,11.5,81.8,-81.7,Wedge,4.1,75.7,0.8,40.6,0.319,0.51,37.7,0
11,6.2,313.1,0.93,18.7,42.8,-66.8,Grid,2.1,128.2,2.02,26.7,0.259,1.09,35.4,0
41,8.5,73.2,2.42,13.2,24.4,-95.0,Grid,1.3,64.4,0.87,49.4,0.425,0.83,6.0,1
39,8.2,94.5,4.86,11.8,46.4,-96.7,Circle,3.7,212.7,2.93,40.0,0.0,1.03,25.0,1
7,8.8,429.7,1.92,16.9,60.0,-58.9,Random,9.5,260.5,0.59,36.7,0.068,1.03,39.8,0
9,1.5,128.1,1.92,7.3,12.7,-65.8,Wedge,9.6,264.5,4.73,29.8,0.019,1.47,11.8,1
24,7.2,190.1,1.06,2.4,66.5,-105.0,Wedge,8.3,204.3,4.85,21.2,0.081,0.77,25.4,1
48,2.3,435.6,0.66,0.7,45.6,-40.4,Random,4.2,110.7,1.87,3.6,0.354,1.07,36.3,0
27,4.7,331.6,3.73,7.5,10.9,-58.8,Random,2.3,201.7,1.67,1.9,0.07,0.88,36.0,0
47,5.9,170.9,3.87,2.7,70.7,-87.4,Circle,6.4,260.6,0.97,3.3,0.311,0.92,12.9,1
44,4.6,341.8,4.85,10.1,74.1,-58.5,Circle,6.8,191.5,4.57,48.0,0.434,0.56,3.8,1
13,5.7,9.8,3.89,23.2,66.6,-109.9,Grid,4.8,129.7,3.14,16.8,0.017,1.19,25.8,1
27,10.0,367.8,1.29,21.5,40.8,-77.9,Grid,7.2,276.7,3.25,35.3,0.013,0.7,37.9,0
14,2.2,243.5,0.3,18.3,57.7,-104.8,Random,7.7,252.2,4.53,30.1,0.495,0.97,20.3,0
41,7.1,406.6,4.93,25.6,44.8,-116.3,Line,8.0,265.9,4.6,29.0,0.337,0.93,18.3,1
19,4.6,477.3,1.77,8.5,73.1,-89.6,Line,5.5,271.9,4.23,29.4,0.07,0.97,34.6,0
26,2.2,462.9,1.63,26.6,62.5,-106.4,Line,8.1,124.2,3.98,15.8,0.153,0.88,17.0,0
34,2.4,454.6,4.54,12.0,17.4,-63.0,Wedge,1.2,259.3,4.45,44.4,0.493,0.74,27.2,0
48,9.5,256.1,2.97,12.0,67.9,-59.3,Circle,7.1,175.4,4.44,46.0,0.114,0.95,15.5,1
41,8.9,180.1,1.15,12.2,71.9,-106.6,Random,3.1,21.1,2.16,32.6,0.376,0.55,15.1,1
44,9.2,232.5,4.46,2.9,43.4,-117.8,Grid,3.4,194.4,4.88,43.3,0.121,0.74,7.5,1
13,9.9,344.9,4.97,29.3,88.8,-48.6,Line,1.8,146.5,3.69,3.9,0.199,1.28,3.5,1
45,2.9,442.0,0.52,4.2,85.9,-119.8,Grid,2.7,89.8,2.17,5.9,0.44,1.34,35.4,0
37,4.2,103.5,4.33,10.2,25.8,-89.0,Circle,9.9,291.4,2.49,28.4,0.014,1.22,7.2,1
49,7.0,459.1,2.01,9.6,91.4,-75.5,Random,4.7,26.0,3.59,42.5,0.154,1.13,2.5,1
5,5.4,407.6,2.67,2.2,49.7,-46.3,Line,9.3,284.3,2.12,16.5,0.244,1.31,23.3,0
6,4.8,489.4,4.58,4.6,75.1,-44.5,Line,2.5,56.2,4.22,27.9,0.313,0.63,21.8,0
38,4.2,440.1,4.87,1.3,83.3,-54.8,Random,2.8,119.3,1.17,1.5,0.014,1.03,22.7,1
9,6.3,140.0,1.38,8.8,55.5,-97.8,Grid,6.0,131.0,4.58,49.3,0.205,0.62,18.7,1
43,6.2,53.0,1.14,26.0,45.9,-55.2,Circle,4.1,222.0,1.86,38.6,0.172,1.28,5.7,1
50,2.5,56.1,0.49,10.2,92.4,-97.8,Circle,6.8,72.5,1.19,18.7,0.013,1.02,0.8,1
29,5.2,145.6,2.85,3.7,30.8,-100.7,Circle,4.8,296.0,4.36,49.2,0.178,1.31,1.9,1
32,6.0,307.1,0.17,19.4,33.1,-70.8,Grid,8.3,227.2,1.58,5.5,0.466,1.3,37.7,0
10,6.1,402.2,2.12,29.9,42.5,-58.9,Grid,4.9,239.1,4.3,23.7,0.137,0.97,21.3,0
30,2.9,449.6,0.46,7.0,87.4,-115.2,Line,6.2,40.9,1.83,3.9,0.293,1.0,16.0,0
15,7.7,311.9,2.09,8.4,94.5,-114.6,Grid,3.9,148.1,4.7,17.4,0.149,0.53,16.4,1
41,1.2,2.8,0.3,29.2,29.8,-49.4,Wedge,7.3,284.2,1.49,11.7,0.053,1.02,26.1,0
42,4.2,93.2,4.19,5.4,87.7,-42.6,Random,6.9,88.3,0.81,16.5,0.145,1.18,15.1,1
23,8.0,49.9,1.13,15.3,33.2,-65.6,Grid,4.6,52.2,4.71,47.4,0.235,0.73,31.9,1
12,6.1,181.7,1.71,7.2,97.4,-81.4,Circle,3.5,150.8,1.25,21.9,0.148,1.49,10.4,1
24,3.4,250.7,4.36,28.0,63.8,-43.9,Grid,6.5,279.8,4.75,16.9,0.312,1.47,14.7,0
2,7.3,21.7,3.76,29.4,10.6,-54.4,Line,9.5,151.2,4.21,32.4,0.475,0.78,37.4,0
47,6.1,174.2,1.17,24.4,13.1,-67.8,Random,2.2,127.4,0.87,34.5,0.035,1.21,10.4,1
38,8.2,89.6,0.45,9.4,23.3,-91.2,Random,8.2,198.6,2.5,49.2,0.359,0.53,26.5,1
22,7.6,323.5,3.61,12.1,26.9,-102.2,Circle,5.9,281.7,0.83,27.8,0.001,1.17,14.6,1
27,6.5,232.1,2.01,7.3,79.1,-82.3,Random,5.7,24.2,1.98,37.9,0.001,1.12,18.8,1
47,5.4,247.7,3.85,26.7,30.0,-94.2,Wedge,9.7,54.5,2.08,19.7,0.066,1.32,1.8,1
37,2.2,213.8,2.28,27.4,97.2,-89.5,Random,6.5,48.5,3.2,9.4,0.24,0.8,6.7,1
24,3.4,478.0,1.8,12.6,67.3,-73.6,Circle,8.5,34.7,4.89,22.1,0.024,1.38,4.1,1
2,4.8,107.4,2.31,19.7,72.3,-104.8,Random,5.6,97.6,1.26,21.5,0.361,1.36,33.8,0
41,6.4,258.3,3.77,5.0,29.6,-47.4,Grid,3.2,76.5,1.98,21.6,0.015,1.17,38.5,1
16,5.6,368.0,4.52,13.0,90.3,-106.9,Line,7.3,169.1,3.14,35.1,0.248,0.97,2.7,1
22,3.6,278.4,0.34,18.9,70.1,-76.7,Grid,9.3,104.9,1.27,20.9,0.338,1.12,3.1,0
48,1.1,464.5,2.67,11.6,87.8,-52.9,Wedge,8.6,127.5,3.7,47.8,0.119,1.23,22.1,1
10,5.5,189.0,0.26,10.7,96.1,-76.3,Wedge,2.8,283.1,2.32,49.2,0.29,1.48,20.2,1
10,3.6,231.8,2.4,0.0,21.3,-87.5,Line,3.9,55.1,4.77,26.6,0.131,0.62,26.0,0
11,7.6,44.3,4.44,24.1,18.7,-77.3,Line,5.7,122.7,3.33,28.4,0.107,0.81,29.5,0
27,1.2,304.5,1.87,26.7,82.3,-43.6,Line,6.1,84.6,2.13,21.0,0.409,1.28,31.9,0
42,6.3,144.1,4.67,29.1,88.0,-30.9,Line,2.7,169.3,3.74,18.4,0.166,0.91,6.0,1
36,9.5,80.2,3.19,21.6,62.5,-63.2,Random,3.1,223.5,4.27,49.3,0.407,1.17,1.5,1
26,2.6,272.3,4.68,16.5,42.9,-48.6,Grid,7.8,246.9,4.1,3.0,0.108,0.63,35.6,0
27,5.2,266.2,3.81,8.1,68.7,-118.7,Wedge,7.6,159.4,1.68,21.1,0.178,1.21,18.8,1
12,1.8,37.9,0.61,30.0,37.5,-40.8,Random,8.6,257.9,2.38,8.4,0.051,1.17,38.8,0
39,6.6,349.1,1.23,17.7,31.5,-34.1,Line,9.4,237.7,2.53,36.6,0.248,1.09,21.3,0
3,6.0,311.9,2.03,20.4,53.9,-68.2,Circle,3.8,55.5,2.25,10.5,0.191,1.27,20.4,0
